Hospital ID,Hospital,Year,Salaries,Employee Benefits,Salaries & Benefits,Supplies,Insurance,Professional Fees,Total Operating Expense,Total Operating Revenue,Net Patient Revenue,Other Operating Revenue,Operating Income,Net Income,Salaries & Benefits %,Insurance %,Supplies %,Professional Fees %,Salary YoY Growth,Insurance YoY Growth,Revenue YoY Growth
106010735,ALAMEDA HOSPITAL,2020,56600992,25201311,81802303,9759742,449540,5077484,135560400,242186847,242096990,89857,106626447,111363341,60.34,0.33,7.2,3.75,,,
106010735,ALAMEDA HOSPITAL,2021,58186061,17272555,75458616,9889497,642272,6990632,135628496,79235295,79167579,67716,-56393201,-56393201,55.64,0.47,7.29,5.15,-7.75,42.87,-67.28
106010735,ALAMEDA HOSPITAL,2022,59975668,16778471,76754139,12671026,695408,13315850,144625377,193571666,193528606,43060,48946289,54318642,53.07,0.48,8.76,9.21,1.72,8.27,144.3
106010735,ALAMEDA HOSPITAL,2023,62237904,18857024,81094928,13592926,600458,19447090,172964951,107570613,106446307,1124306,-65394338,-60105181,46.89,0.35,7.86,11.24,5.66,-13.65,-44.43
106010735,ALAMEDA HOSPITAL,2024,72023249,21606704,93629953,12980490,993430,9611772,170961094,116471598,116331804,139794,-54489496,-49049666,54.77,0.58,7.59,5.62,15.46,65.45,8.27
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2020,189512502,102871907,292384409,77748952,4437634,6959947,648497305,646610087,591684670,54925417,-1887218,5883639,45.09,0.68,11.99,1.07,,,
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2021,186834071,95405620,282239691,81958809,4454461,13455942,647879378,622365534,618777612,3587922,-25513844,18948458,43.56,0.69,12.65,2.08,-3.47,0.38,-3.75
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2022,185002862,83739426,268742288,91091979,4352678,49726322,687711207,630122281,627799965,2322316,-57588926,-39617202,39.08,0.63,13.25,7.23,-4.78,-2.28,1.25
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2023,210037836,93802173,303840009,102889200,4267867,25181274,740937036,721487458,717325350,4162108,-19449578,32274338,41.01,0.58,13.89,3.4,13.06,-1.95,14.5
106010739,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMPUS,2024,237125799,101625342,338751141,121186469,3915297,9494500,799988209,771524186,764442425,7081761,-28464023,5471817,42.34,0.49,15.15,1.19,11.49,-8.26,6.94
